RBR XR-620  6.60 018573 (Windows: 6.13 - Minimum required: 6.13)
Host time     18/06/22 09:41:55
Logger time   18/06/22 09:42:03
Logging start 18/04/30 08:24:20
Logging end   18/06/15 15:00:00
Sample period          00:01:00
Number of channels =  3, number of samples =  66636, mode: Logging Complete
N03%9.4f
Calibration  1: -0.002382818000000
                154.906994200000010
                0.000000000000000
                0.000000000000000 mS/cm
Calibration  2: 0.003426915600263
                -0.000257234520228
                0.000002313140325
                -0.000000071195509 Degrees_C
Calibration  3: 8.129605369038000
                930.138389642962010
                20.635332533391001
                1.799385691527000 deciBars
Correction to conductivity: 1.4000000e-005 -2.0000000e-004 1.4900000e+001 7.0000000e-007
Memory type: 6 AT45DB642D_LP
Averaging: NONE
Logger start:Now 

     Cond      Temp      Pres  Salinity  DensAnom 
  34.1420   13.0294   10.1859   28.5569   21.4021 
  34.1347   13.0255   10.1890   28.5531   21.3999 
  34.1201   13.0175   10.1873   28.5456   21.3956 
  34.1277   13.0118   10.1846   28.5569   21.4054 
  34.1159   13.0056   10.1856   28.5505   21.4017 
  34.1005   12.9991   10.1891   28.5411   21.3956 
  34.0844   12.9809   10.1885   28.5399   21.3982 
  34.0787   12.9837   10.1899   28.5326   21.3920 
  34.0738   12.9795   10.1923   28.5312   21.3917 
  34.0680   12.9742   10.1856   28.5297   21.3915 
  34.0560   12.9657   10.1861   28.5251   21.3895 
  34.0389   12.9599   10.1903   28.5135   21.3817 
  34.0235   12.9539   10.1909   28.5038   21.3753 
  34.0093   12.9461   10.1870   28.4965   21.3711 
  33.9968   12.9409   10.1868   28.4887   21.3661 
  33.9878   12.9347   10.1875   28.4851   21.3644 
  33.9780   12.9271   10.1885   28.4817   21.3633 
  33.9658   12.9219   10.1851   28.4742   21.3584 
  33.9529   12.9134   10.1869   28.4686   21.3557 
  33.9464   12.9057   10.1865   28.4684   21.3570 
  33.9299   12.8912   10.1905   28.4640   21.3563 
  33.9226   12.8934   10.1930   28.4555   21.3494 
  33.9372   12.8866   10.1863   28.4741   21.3650 
  33.9368   12.8804   10.1889   28.4785   21.3695 
  33.9273   12.8722   10.1891   28.4758   21.3690 
  33.9129   12.8631   10.1902   28.4693   21.3657 
  33.9038   12.8564   10.1888   28.4658   21.3642 
  33.8921   12.8443   10.1887   28.4640   21.3651 
  33.8822   12.8427   10.1896   28.4560   21.3592 
  33.8700   12.8345   10.1910   28.4508   21.3567 
  33.8608   12.8295   10.1887   28.4461   21.3540 
  33.8555   12.8212   10.1909   28.4474   21.3565 
  33.8488   12.8114   10.1912   28.4485   21.3592 
  33.8354   12.8080   10.1912   28.4386   21.3522 
  33.8195   12.7984   10.1919   28.4310   21.3481 
  33.8078   12.7926   10.1913   28.4244   21.3441 
  33.7964   12.7867   10.1963   28.4182   21.3404 
  33.7841   12.7771   10.1905   28.4140   21.3390 
  33.7718   12.7699   10.1931   28.4080   21.3356 
  33.7621   12.7626   10.1919   28.4044   21.3342 
  33.7489   12.7551   10.1909   28.3978   21.3305 
  33.7404   12.7495   10.1950   28.3940   21.3286 
  33.7348   12.7404   10.1930   28.3957   21.3316 
  33.7221   12.7362   10.1967   28.3870   21.3257 
  33.7051   12.7123   10.1936   28.3890   21.3317 
  33.7047   12.7186   10.1929   28.3840   21.3266 
  33.6935   12.7112   10.1962   28.3791   21.3242 
  33.6826   12.7037   10.1935   28.3746   21.3221 
  33.6731   12.6940   10.1906   28.3729   21.3226 
  33.6739   12.6888   10.1984   28.3777   21.3272 
  33.6588   12.6815   10.1935   28.3690   21.3219 
  33.6490   12.6737   10.1962   28.3657   21.3208 
  33.6332   12.6640   10.1953   28.3583   21.3168 
  33.6231   12.6556   10.1963   28.3552   21.3160 
  33.6124   12.6505   10.1980   28.3490   21.3121 
  33.6000   12.6403   10.1987   28.3450   21.3109 
  33.5885   12.6301   10.1974   28.3419   21.3104 
  33.5743   12.6256   10.2022   28.3321   21.3036 
  33.5786   12.6178   10.2022   28.3420   21.3127 
  33.5805   12.6084   10.1969   28.3508   21.3212 
  33.5680   12.6034   10.2034   28.3429   21.3161 
  33.6302   12.5928   10.2003   28.4090   21.3692 
  33.6065   12.5812   10.1986   28.3956   21.3609 
  33.5941   12.5789   10.1969   28.3857   21.3537 
  33.5835   12.5702   10.1991   28.3823   21.3527 
  33.5716   12.5632   10.2003   28.3765   21.3494 
  33.5635   12.5542   10.2010   28.3756   21.3505 
  33.5436   12.5444   10.2005   28.3645   21.3436 
  33.5363   12.5393   10.1986   28.3614   21.3422 
  33.5282   12.5285   10.1980   28.3619   21.3445 
  33.5120   12.5216   10.1979   28.3519   21.3381 
  33.5069   12.5141   10.1958   28.3529   21.3402 
  33.5006   12.5036   10.2029   28.3548   21.3436 
  33.4902   12.4990   10.1985   28.3486   21.3396 
  33.4881   12.4915   10.1979   28.3522   21.3438 
  33.4748   12.4835   10.1977   28.3458   21.3403 
  33.4612   12.4696   10.1993   28.3435   21.3411 
  33.4537   12.4649   10.2000   28.3401   21.3393 
  33.4438   12.4563   10.1984   28.3372   21.3387 
  33.4346   12.4481   10.1978   28.3347   21.3382 
  33.4288   12.4402   10.2043   28.3352   21.3400 
  33.4115   12.4294   10.2008   28.3272   21.3358 
  33.4055   12.4220   10.2009   28.3270   21.3370 
  33.3962   12.4134   10.2031   28.3248   21.3369 
  33.3878   12.4073   10.1988   28.3215   21.3354 
  33.3904   12.3981   10.2019   28.3309   21.3444 
  33.3786   12.3884   10.2099   28.3272   21.3433 
  33.3651   12.3817   10.2058   28.3195   21.3385 
  33.3581   12.3745   10.2010   28.3184   21.3390 
  33.3447   12.3611   10.2013   28.3159   21.3394 
  33.3486   12.3554   10.2021   28.3238   21.3466 
  33.3354   12.3483   10.2055   28.3168   21.3425 
  33.3301   12.3402   10.2047   28.3178   21.3448 
  33.3199   12.3286   10.2010   28.3169   21.3462 
